scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,seen_calibrated_aps,median_router_rmse_m,good_router_count,usable_router_count,weak_router_count,gps_jump_m,wifi_jump_m,is_outlier,outlier_reason
scan_238,2026-04-08 13:21:46,48.89141289902663,8.701192330557548,48.891454470879395,8.701085870270514,48.891414513780404,8.701085444031689,4,71.33300792880682,4.448133661669802,7.825258971255889,wknn_fingerprinting_smoothed_road_snapped,10,11.887128748575421,2,4,4,7.251658206971471,11.145657027458494,True,high_rmse
scan_241,2026-04-08 13:22:00,48.89136657671654,8.701255230703266,48.891433905880035,8.700917090444108,48.891415291045206,8.700916891872055,3,72.18494764607554,2.072254380340581,25.350392651125627,wknn_fingerprinting_smoothed_road_snapped,7,8.48784382435577,0,4,3,1.060938971807855,20.512731303368177,True,high_rmse
scan_249,2026-04-08 13:22:51,48.8914056731127,8.701297251027107,48.891413336068226,8.701044275294954,48.89141470355948,8.701044289882539,3,34.54465708808431,0.15223287022400656,18.541900453608324,wknn_fingerprinting_smoothed_road_snapped,3,18.56010892830319,0,1,2,5.329226857355338,9.324691123259251,True,weak_router_support
scan_257,2026-04-08 13:23:40,48.89137660440869,8.701443657386907,48.891413506912414,8.7013292060071,48.89141359155912,8.70132920604334,3,100.60441792409361,0.009422871843434003,9.334088079683065,wknn_fingerprinting_smoothed_road_snapped,5,8.616251199190419,2,1,2,1.6496375933827134,3.7121405990620033,True,high_rmse
scan_260,2026-04-08 13:23:55,48.89145031654221,8.701404217471746,48.891400076739274,8.7013121504109,48.891413594714756,8.70131215619853,3,22.832725052724946,1.5048210902900028,7.881165923514218,wknn_fingerprinting_smoothed_road_snapped,5,17.325061439471845,0,0,5,8.69858054966732,1.2479051791167726,True,weak_router_support
scan_267,2026-04-08 13:24:44,48.89157249920287,8.701872821064171,48.891431149831874,8.701470583539969,48.89141356539404,8.701470576011308,3,61.4220373047546,1.9574996973197425,34.34805844863554,wknn_fingerprinting_smoothed_road_snapped,5,3.756829360035601,0,0,5,7.117997330465514,0.5616034163500828,True,high_rmse
scan_282,2026-04-08 13:25:59,48.89121728876826,8.701971863082631,48.89122925712704,8.701277058763651,48.89122945800867,8.701282948677818,3,23.558437978779494,0.43167333689844783,50.441128100286896,wknn_fingerprinting_smoothed_road_snapped,8,21.58324378275288,0,3,5,5.464957404875388,17.033259079268415,True,weak_router_support
scan_286,2026-04-08 13:26:22,48.89111935210786,8.702022451539404,48.891080440724764,8.701624543892542,48.89108243811872,8.701627539717398,3,48.85011088353161,0.3122804552136878,29.195032225111632,wknn_fingerprinting_smoothed_road_snapped,4,8.754121238656733,0,0,4,3.404594190811592,27.12503372013912,True,high_rmse
scan_290,2026-04-08 13:26:42,48.89095144623508,8.702081491693987,48.89095077974882,8.70165796227861,48.89097823419725,8.701656009401114,4,28.75128185297475,3.059569819354535,31.284458564979634,wknn_fingerprinting_smoothed_road_snapped,6,22.201625986979494,1,3,2,6.985353153425846,7.439467129672439,True,weak_router_support
scan_292,2026-04-08 13:26:52,48.89085284315155,8.702082150260743,48.89083020172186,8.701401414807165,48.89077268732769,8.701403098887447,4,66.55123161430315,6.403688777980946,50.496023219122954,wknn_fingerprinting_smoothed_road_snapped,9,64.60753168564496,0,2,7,10.976601094861405,29.43167646170894,True,high_rmse;weak_router_support
