scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,seen_calibrated_aps,median_router_rmse_m,good_router_count,usable_router_count,weak_router_count
scan_215,2026-04-08 13:14:50,48.89141248568684,8.700435963169118,48.89133904428051,8.70034920101276,48.89134818183795,8.70034984270555,3,79.8911259138362,1.0182766049102112,9.537967693885276,wknn_fingerprinting_smoothed_road_snapped,11,20.981268101600783,1,4,6
scan_216,2026-04-08 13:14:57,48.89138119775277,8.700532045851572,48.89136790552338,8.700373563886565,48.891347505200585,8.700372131255886,5,32.886151112853966,2.2733834026194475,12.290672274835666,wknn_fingerprinting_smoothed_road_snapped,14,17.231973107559746,1,7,6
scan_219,2026-04-08 13:15:12,48.89137330486397,8.700691223354507,48.89138500156176,8.700452893898802,48.891420198906374,8.700455770949565,5,48.75946981880763,3.923822866983734,18.00645298708485,wknn_fingerprinting_smoothed_road_snapped,18,8.510809836606613,4,7,7
scan_220,2026-04-08 13:15:19,48.89137079817101,8.700770036395655,48.891417750504836,8.700254211688147,48.891427293577934,8.700254991744654,3,51.04278028211536,1.0638679942524671,38.21797476748022,wknn_fingerprinting_smoothed_road_snapped,9,17.760028640838325,0,2,7
scan_226,2026-04-08 13:15:43,48.89138095671722,8.700902611481208,48.891417314247924,8.700394083978258,48.891422364072305,8.700394496753924,3,45.421306164204324,0.562957705589114,37.474315882155906,wknn_fingerprinting_smoothed_road_snapped,11,26.598410355085424,0,2,9
scan_227,2026-04-08 13:15:49,48.89136206807266,8.700964203098406,48.89144637647864,8.700166550573513,48.89143577411884,8.700162768704933,4,30.023404755697907,1.2122787651940967,59.22937549029972,wknn_fingerprinting_smoothed_road_snapped,16,19.868536392089542,3,6,7
scan_231,2026-04-08 13:16:39,48.89157586587517,8.70089202059816,48.89147462124909,8.700399676213227,48.89142233208261,8.700395402062215,3,87.68368683093226,5.829230272912377,40.16597354544006,wknn_fingerprinting_smoothed_road_snapped,6,12.80801300882129,1,5,0
scan_232,2026-04-08 13:16:41,48.89159341695891,8.700891512509841,48.8914925846691,8.700560683751716,48.891492878761184,8.700553172824662,3,115.55606817672634,0.5507097390862111,27.175194926549565,wknn_fingerprinting_smoothed_road_snapped,4,8.252073727935437,1,2,1
scan_236,2026-04-08 13:21:26,48.89138071160203,8.701044575656445,48.89150936931249,8.700988569956522,48.8915179,8.7009942,3,47.156507943545435,1.0351866010031276,15.710594790480453,wknn_fingerprinting_smoothed_road_snapped,12,9.840444039849636,0,4,8
scan_237,2026-04-08 13:21:35,48.89139212296492,8.701098426919684,48.8914758454636,8.701116627643199,48.89151193345306,8.701120589264532,3,53.22162182471511,4.027765478177049,13.435582122231375,wknn_fingerprinting_smoothed_road_snapped,7,16.335576189937747,0,3,4
scan_238,2026-04-08 13:21:46,48.89141289902663,8.701192330557548,48.891454470879395,8.701085870270514,48.891414513780404,8.701085444031689,4,71.33300792880682,4.448133661669802,7.825258971255889,wknn_fingerprinting_smoothed_road_snapped,10,11.887128748575421,2,4,4
scan_240,2026-04-08 13:21:55,48.89137592136886,8.701258079587715,48.89144015823353,8.701197424835945,48.89141399867672,8.701197145781238,3,36.09853908343756,2.912153488646456,6.152833073442943,wknn_fingerprinting_smoothed_road_snapped,13,2.442010806229799,1,2,10
scan_241,2026-04-08 13:22:00,48.89136657671654,8.701255230703266,48.891433905880035,8.700917090444108,48.891415291045206,8.700916891872055,3,72.18494764607554,2.072254380340581,25.350392651125627,wknn_fingerprinting_smoothed_road_snapped,7,8.48784382435577,0,4,3
scan_249,2026-04-08 13:22:51,48.8914056731127,8.701297251027107,48.891413336068226,8.701044275294954,48.89141470355948,8.701044289882539,3,34.54465708808431,0.15223287022400656,18.541900453608324,wknn_fingerprinting_smoothed_road_snapped,3,18.56010892830319,0,1,2
scan_252,2026-04-08 13:23:15,48.89141475364461,8.701293886877147,48.89141341984757,8.701174487303057,48.89141410313087,8.701174494591916,4,35.927583480679004,0.07606496818986425,8.738810181481554,wknn_fingerprinting_smoothed_road_snapped,6,7.14654882469459,0,2,4
scan_256,2026-04-08 13:23:33,48.89138886550364,8.701456315466855,48.891413470720735,8.701278486300914,48.8914136235739,8.701278487931463,4,39.45746634475158,0.017016032419872984,13.304088423518735,wknn_fingerprinting_smoothed_road_snapped,19,9.305971433245052,2,5,12
scan_257,2026-04-08 13:23:40,48.89137660440869,8.701443657386907,48.891413506912414,8.7013292060071,48.89141359155912,8.70132920604334,3,100.60441792409361,0.009422871843434003,9.334088079683065,wknn_fingerprinting_smoothed_road_snapped,5,8.616251199190419,2,1,2
scan_260,2026-04-08 13:23:55,48.89145031654221,8.701404217471746,48.891400076739274,8.7013121504109,48.891413594714756,8.70131215619853,3,22.832725052724946,1.5048210902900028,7.881165923514218,wknn_fingerprinting_smoothed_road_snapped,5,17.325061439471845,0,0,5
scan_262,2026-04-08 13:24:10,48.8914421089298,8.701639795046729,48.891404804518444,8.70133112908433,48.89141359120251,8.70133113284629,4,39.04134598330342,0.9781337086489493,22.813421598095363,wknn_fingerprinting_smoothed_road_snapped,15,4.765853082059008,0,7,8
scan_263,2026-04-08 13:24:18,48.89148266781629,8.701681243019001,48.891407871748,8.70137494801989,48.89141358309264,8.701374950465164,3,25.52776266472772,0.6357869107009207,23.700442049459035,wknn_fingerprinting_smoothed_road_snapped,7,8.83947899782104,0,2,5
scan_266,2026-04-08 13:24:35,48.89153123002783,8.701798537235137,48.891440616955165,8.701478260653683,48.89141356397389,8.701478249071128,3,27.93347719230358,3.011537994720459,26.853609745402466,wknn_fingerprinting_smoothed_road_snapped,9,8.87964452755194,1,4,4
scan_267,2026-04-08 13:24:44,48.89157249920287,8.701872821064171,48.891431149831874,8.701470583539969,48.89141356539404,8.701470576011308,3,61.4220373047546,1.9574996973197425,34.34805844863554,wknn_fingerprinting_smoothed_road_snapped,5,3.756829360035601,0,0,5
scan_270,2026-04-08 13:24:55,48.89156910484079,8.701970461659114,48.89145577229746,8.70155323762427,48.89141355009818,8.701553219547108,3,42.08493501721818,4.700175410465851,35.10636767581334,wknn_fingerprinting_smoothed_road_snapped,9,10.801243552147334,0,5,4
scan_280,2026-04-08 13:25:44,48.89131486433503,8.70205226059355,48.89134488616554,8.7017147346727,48.89132374635672,8.701715024794705,4,23.94311934103797,2.3533793194990547,24.702666337422702,wknn_fingerprinting_smoothed_road_snapped,7,1.0097938642114148,0,0,7
scan_281,2026-04-08 13:25:52,48.89126434204779,8.701993158615933,48.89112920389836,8.701445215062733,48.89112012425216,8.701445757402029,3,13.012814197295423,1.0115253805145494,43.16211402170411,wknn_fingerprinting_smoothed_road_snapped,10,14.738982683460101,0,3,7
scan_282,2026-04-08 13:25:59,48.89121728876826,8.701971863082631,48.89122925712704,8.701277058763651,48.89122945800867,8.701282948677818,3,23.558437978779494,0.43167333689844783,50.441128100286896,wknn_fingerprinting_smoothed_road_snapped,8,21.58324378275288,0,3,5
scan_285,2026-04-08 13:26:14,48.89114988999594,8.702019902321618,48.89124390583167,8.70156617091096,48.89132256693811,8.701564611677032,4,15.630043708312993,8.757298014153074,38.47030176794082,wknn_fingerprinting_smoothed_road_snapped,5,0.4412920688602965,0,0,5
scan_286,2026-04-08 13:26:22,48.89111935210786,8.702022451539404,48.891080440724764,8.701624543892542,48.89108243811872,8.701627539717398,3,48.85011088353161,0.3122804552136878,29.195032225111632,wknn_fingerprinting_smoothed_road_snapped,4,8.754121238656733,0,0,4
scan_289,2026-04-08 13:26:35,48.89101408202727,8.70207573098628,48.89104464544948,8.701634809158255,48.89104492126934,8.701662643351991,4,29.27130345250478,2.0374750973962352,30.429057545791927,wknn_fingerprinting_smoothed_road_snapped,8,3.0296075983939645,1,2,5
scan_290,2026-04-08 13:26:42,48.89095144623508,8.702081491693987,48.89095077974882,8.70165796227861,48.89097823419725,8.701656009401114,4,28.75128185297475,3.059569819354535,31.284458564979634,wknn_fingerprinting_smoothed_road_snapped,6,22.201625986979494,1,3,2
scan_292,2026-04-08 13:26:52,48.89085284315155,8.702082150260743,48.89083020172186,8.701401414807165,48.89077268732769,8.701403098887447,4,66.55123161430315,6.403688777980946,50.496023219122954,wknn_fingerprinting_smoothed_road_snapped,9,64.60753168564496,0,2,7
scan_296,2026-04-08 13:27:11,48.890679948745394,8.702137212278766,48.890811787534524,8.701549410758815,48.89077455317746,8.701550501018602,4,121.92032823062765,4.145696706779772,44.21546247752732,wknn_fingerprinting_smoothed_road_snapped,4,44.22665803488174,0,2,2
scan_302,2026-04-08 13:27:37,48.89043439940722,8.702059935501858,48.89061733690326,8.701741842373513,48.89065844218459,8.701729543931695,3,52.188759964830226,4.663538692829854,34.73919929718581,wknn_fingerprinting_smoothed_road_snapped,3,5.483115119360386,1,1,1
scan_304,2026-04-08 13:27:49,48.89032477602501,8.702061083156018,48.89069981931108,8.70186945836902,48.89070035493808,8.701899814084161,3,66.05553219324884,2.222614495543337,43.44374811977897,wknn_fingerprinting_smoothed_road_snapped,5,64.60753168564496,0,0,5
scan_305,2026-04-08 13:27:57,48.8902562168712,8.702080230212733,48.89059250907509,8.701678544890244,48.890649635135865,8.701661453137564,5,64.01798740576027,6.48115249033209,53.4561018239074,wknn_fingerprinting_smoothed_road_snapped,10,25.625563540850713,1,3,6
scan_312,2026-04-08 13:28:36,48.89016371147312,8.701654002741089,48.89042758202332,8.70128364356417,48.89042782472667,8.701323503877088,3,40.86155487333622,2.917622029384185,38.073566614247476,wknn_fingerprinting_smoothed_road_snapped,6,40.235991430433685,0,0,6
scan_313,2026-04-08 13:28:45,48.89018843167491,8.701501240675967,48.89034057186031,8.70132880933987,48.89034054704092,8.701324733140268,4,53.81449618829484,0.2983626966111671,21.299016584588486,wknn_fingerprinting_smoothed_road_snapped,9,38.43730117558224,0,1,8
scan_314,2026-04-08 13:28:51,48.890174141654974,8.701412607836865,48.89029492033961,8.70110756229205,48.890191481465216,8.701095293035896,4,56.566985316332364,11.549780401133026,23.305422909093195,wknn_fingerprinting_smoothed_road_snapped,10,44.15726047120156,0,1,9
scan_318,2026-04-08 13:29:30,48.89024980738625,8.701139938502163,48.890254341765896,8.701214356512992,48.89018579306173,8.701206225709555,3,81.16854891725818,7.654012920959506,8.620945105982194,wknn_fingerprinting_smoothed_road_snapped,3,59.44277518410695,0,0,3
scan_323,2026-04-08 13:30:09,48.89027956723392,8.701081172704317,48.89021531877804,8.700330005705798,48.8902341,8.7004542,3,31.6175056996384,9.327527848224745,46.168443605864255,wknn_fingerprinting_smoothed_road_snapped,5,63.27137829852612,0,0,5
scan_325,2026-04-08 13:30:20,48.89026248190547,8.700975259371347,48.89043969720572,8.700458978708768,48.89043930485263,8.700469657919488,4,13.455413541232605,0.7828628971421414,41.91595439219602,wknn_fingerprinting_smoothed_road_snapped,12,20.75634513471274,0,3,9
scan_326,2026-04-08 13:30:30,48.89026515976512,8.700875913044307,48.89036805930708,8.7004573204396,48.890367627155584,8.700463443209074,3,117.27602767260949,0.45071924824223564,32.273038868942486,wknn_fingerprinting_smoothed_road_snapped,7,10.995650547224717,1,2,4
scan_327,2026-04-08 13:30:41,48.89028228151842,8.700797651599004,48.8905389785496,8.700541733285739,48.890541308096026,8.700478326750371,5,38.94673936456646,4.6481455246011425,37.11762294834765,wknn_fingerprinting_smoothed_road_snapped,10,35.1330654681387,1,0,9
scan_328,2026-04-08 13:30:48,48.8903055241188,8.700768426708121,48.89040459579807,8.700329201002734,48.890399559522876,8.700466280129424,6,25.711597780055428,10.048892220172574,24.467449289250844,wknn_fingerprinting_smoothed_road_snapped,21,34.07703221391654,0,5,16
scan_329,2026-04-08 13:30:55,48.89031191039941,8.700701077151578,48.89046693588372,8.70026402022323,48.89047276292593,8.700131764809552,5,37.1565949505708,9.70187552201007,45.35416079336358,wknn_fingerprinting_smoothed_road_snapped,20,25.625563540850713,0,6,14
scan_330,2026-04-08 13:31:00,48.89030615942733,8.700637910453231,48.89037296324028,8.699978726213848,48.89036669677437,8.700120954976361,6,32.240228306060345,10.433511194644897,38.43306423977683,wknn_fingerprinting_smoothed_road_snapped,15,29.49669346485572,0,3,12
scan_331,2026-04-08 13:31:02,48.89030247289836,8.700613842829542,48.8903209016061,8.700023423898035,48.890316828400444,8.700115872593381,6,45.615998903932436,6.781789306450668,36.48305610948002,wknn_fingerprinting_smoothed_road_snapped,16,19.31282746218853,1,4,11
scan_332,2026-04-08 13:31:07,48.89029258046196,8.700549357813706,48.890293496769,8.700053133244872,48.89029084918436,8.700113224896748,4,77.56222640492916,4.408165454477144,31.922556031375013,wknn_fingerprinting_smoothed_road_snapped,8,22.205162541033765,0,4,4
scan_333,2026-04-08 13:31:22,48.89018027481718,8.700555747127572,48.89033951786875,8.700198490954966,48.8903430402582,8.70011854399991,6,21.797581232235274,5.864692857834596,36.77396014049841,wknn_fingerprinting_smoothed_road_snapped,24,30.674559459827506,1,3,20
scan_334,2026-04-08 13:31:29,48.89022050600667,8.700414597594438,48.89030652841018,8.699758993491288,48.89017404677222,8.699732646149345,5,74.38567352312518,14.873404455949325,50.18152023200509,wknn_fingerprinting_smoothed_road_snapped,16,51.36339401333488,0,2,14
scan_336,2026-04-08 13:31:36,48.89023772324016,8.700313484372133,48.89026308268298,8.699715775867524,48.89017696961747,8.699698650105015,4,45.53151068474471,9.667713037295625,45.507110157452395,wknn_fingerprinting_smoothed_road_snapped,18,30.937865201562712,2,4,12
scan_337,2026-04-08 13:31:44,48.89023206114601,8.700215258427583,48.89013412640596,8.699057658622085,48.8902304328328,8.699076811559545,4,31.821753742227294,10.812098098195818,83.32689456031562,wknn_fingerprinting_smoothed_road_snapped,19,37.42464748603541,1,2,16
scan_338,2026-04-08 13:31:46,48.89023162753919,8.700185001190595,48.89024402405814,8.699432716749351,48.89020057640417,8.699424076085942,5,59.38057420618749,4.877766796148853,55.80179138171981,wknn_fingerprinting_smoothed_road_snapped,15,33.41467453484282,0,1,14
scan_341,2026-04-08 13:31:51,48.89023400388773,8.700098817989339,48.89048637900173,8.699576691589693,48.89019248037164,8.69951824223481,3,63.84355879804947,32.99531296366961,42.74492693873413,wknn_fingerprinting_smoothed_road_snapped,5,48.28235855137787,0,0,5
scan_343,2026-04-08 13:31:58,48.89021785939824,8.70002508482213,48.890366142981335,8.699265523505654,48.890216762317564,8.699235815339168,3,7.483314773547883,16.77061855224422,57.7693934325209,wknn_fingerprinting_smoothed_road_snapped,7,35.880959802569,0,0,7
scan_347,2026-04-08 13:32:12,48.89021845213454,8.699826343305661,48.89031074820483,8.699291316476867,48.890213650772175,8.699272006182674,5,32.64987569377853,10.900902262082926,40.57730164151201,wknn_fingerprinting_smoothed_road_snapped,10,19.92452829555605,0,1,9
scan_350,2026-04-08 13:32:19,48.89025286581159,8.69973751619241,48.89028364324385,8.699204545576485,48.890220529912234,8.69919199388972,4,19.104862306249697,7.085586535195302,40.09049609886746,wknn_fingerprinting_smoothed_road_snapped,9,33.36355169879227,0,2,7
scan_351,2026-04-08 13:32:27,48.89028298989228,8.699647320746806,48.89023436473871,8.699023628597068,48.890235453831096,8.699023909949183,4,31.388692231439016,0.12297426955318451,45.93527393810185,wknn_fingerprinting_smoothed_road_snapped,7,30.6475622921797,0,1,6
scan_357,2026-04-08 13:32:46,48.89026458007936,8.69939954335959,48.890234272080164,8.699524328588094,48.89019266845095,8.699516054656657,4,147.7057886475679,4.670742441700615,11.69646783447046,wknn_fingerprinting_smoothed_road_snapped,4,56.16556858531636,0,0,4
scan_359,2026-04-08 13:32:51,48.89023923406083,8.699312221866068,48.89023453297547,8.699849797861162,48.8901645454431,8.699834404154606,4,121.90365047856443,7.872061944654017,39.114132989487764,wknn_fingerprinting_smoothed_road_snapped,4,51.76461031605998,0,0,4
