scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method
scan_90,2026-04-08 12:55:21,48.89079797256797,8.698988937297218,48.89079271092365,8.699031056081369,48.89078692319308,8.699087164405693,7,11.982394665258566,4.156941300192387,7.293946146818337,precomputed_wifi_multilateration
scan_91,2026-04-08 12:55:30,48.8908821141815,8.699021630608312,48.89083591645418,8.698998733078273,48.89084262023337,8.698951891681352,6,3.5491454694877778,3.508715099098537,6.736718297800022,precomputed_wifi_multilateration
scan_92,2026-04-08 12:55:39,48.8909767608744,8.699016713232952,48.89068545936515,8.698889243255776,48.89068401978614,8.69889922746296,4,29.356385761670893,0.7481356492546744,33.70337175386858,precomputed_wifi_multilateration
scan_94,2026-04-08 12:55:48,48.89105861229604,8.699050924581883,48.89117803491143,8.699016949134577,48.89117396701077,8.69905227109052,14,6.3038955352809545,2.624642099111269,12.84166502652741,precomputed_wifi_multilateration
scan_95,2026-04-08 12:55:57,48.8911053882836,8.699076431933364,48.89103880355293,8.699216198071662,48.891045857512474,8.699149423701991,11,11.842905330638246,4.950038899366977,8.512231191330311,precomputed_wifi_multilateration
scan_97,2026-04-08 12:56:15,48.89109058717651,8.699128907757114,48.89110365204245,8.69948714802512,48.89096196198388,8.699465098233928,3,3.324121576468616,15.855286981783335,28.469273413285382,precomputed_wifi_multilateration
scan_99,2026-04-08 12:56:29,48.89107832360513,8.699137508740398,48.89119652982493,8.699178123122662,48.89119570593378,8.699185966262737,4,2.446740873981406,0.5813347721017461,13.539779832103894,precomputed_wifi_multilateration
scan_101,2026-04-08 12:56:45,48.8910881905604,8.699137230809166,48.89112173378877,8.699261534111105,48.89113136952641,8.69917031994765,6,4.975835786363509,6.761769775984768,5.382342711022992,precomputed_wifi_multilateration
scan_104,2026-04-08 12:57:11,48.89108520271169,8.699160291412342,48.89111805050016,8.699267789136112,48.89112842307175,8.699169599933729,3,5.908785611747435,7.278834825139669,4.859289995625483,precomputed_wifi_multilateration
scan_115,2026-04-08 12:59:04,48.8910466645644,8.699212735413969,48.891283193691166,8.699228667461808,48.891285390019284,8.699207759203382,5,0.6568274062633248,1.5497207286561374,26.57741340366019,precomputed_wifi_multilateration
scan_163,2026-04-08 13:10:26,48.891283212173526,8.699240196601913,48.89124623414434,8.6993941648814,48.89126630254164,8.699203121008491,6,6.183226903551847,14.160187852357781,3.3025951371165987,precomputed_wifi_multilateration
scan_164,2026-04-08 13:10:31,48.8913253402243,8.699258542131224,48.89123030247909,8.699520729575719,48.891430099999994,8.6994328,9,14.229928574855002,23.15385809054812,17.282053267979734,precomputed_wifi_multilateration
scan_165,2026-04-08 13:10:39,48.89138361566166,8.699288077690733,48.891256674605046,8.699517101570683,48.891430099999994,8.6994328,17,4.798411059734762,20.26775296738977,11.788854846457346,precomputed_wifi_multilateration
scan_166,2026-04-08 13:10:45,48.89139446200252,8.699303737349608,48.89139097220534,8.699470487917072,48.891430099999994,8.6994328,4,5.308984075260471,5.15569242762122,10.245559782132256,precomputed_wifi_multilateration
scan_167,2026-04-08 13:10:53,48.89143249963149,8.699299015231373,48.89114667343042,8.699718852140867,48.89094698152318,8.699687776090594,8,29.43788321288488,22.345763137127395,61.080305116042446,precomputed_wifi_multilateration
scan_169,2026-04-08 13:11:00,48.89147471214108,8.699311938799372,48.89147262711838,8.699430256749217,48.8914589,8.6994465,5,2.8340494074491245,1.9361056130659462,10.0047946618074,precomputed_wifi_multilateration
scan_170,2026-04-08 13:11:04,48.891480680240704,8.699326167594434,48.89139245043575,8.699294583409792,48.89140023223264,8.69922154318734,5,4.926684087526637,5.415663340218035,11.783020045494315,precomputed_wifi_multilateration
scan_171,2026-04-08 13:11:07,48.89149956626963,8.699332101675385,48.891334223213406,8.699476983689554,48.891430099999994,8.6994328,5,0.9757821189889254,11.152174105416293,10.68268453243043,precomputed_wifi_multilateration
scan_172,2026-04-08 13:11:14,48.89151701361737,8.699344721348918,48.89132967223245,8.6993800468851,48.89143300513504,8.69940528666223,11,11.37570710104058,11.650412581189347,10.34924548851319,precomputed_wifi_multilateration
scan_173,2026-04-08 13:11:17,48.89152093218081,8.699348734905131,48.891330086559954,8.699654479334797,48.89140859999999,8.699712,4,3.846814851331164,9.701238565237695,29.381735632333534,precomputed_wifi_multilateration
scan_174,2026-04-08 13:11:21,48.8915324894261,8.699375120538956,48.89134647900028,8.699571261976796,48.89144232470515,8.699595866009233,15,13.703471459074898,10.820447530281017,19.020572093800503,precomputed_wifi_multilateration
scan_175,2026-04-08 13:11:24,48.89153370851013,8.699386822865728,48.89150542456152,8.699936206206646,48.89147251947279,8.699924468931036,7,18.23141779956336,3.7623831169746786,39.936252551477295,precomputed_wifi_multilateration
scan_176,2026-04-08 13:11:29,48.89154449275559,8.699355841367689,48.89142562877122,8.699549076731532,48.89144691070387,8.699554539907107,5,18.014678912256105,2.402611911407991,18.152153236240903,precomputed_wifi_multilateration
scan_178,2026-04-08 13:11:38,48.89155149744726,8.69937254615229,48.89155710783092,8.699791423417354,48.89159716518597,8.699806126242576,6,1.9197149913969689,4.587195541316497,32.13894457296163,precomputed_wifi_multilateration
