scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,raw_actual_latitude,raw_actual_longitude,matched_actual_latitude,matched_actual_longitude,gps_snap_distance_m,gps_road_type,matched_estimated_latitude,matched_estimated_longitude,wifi_snap_distance_m,wifi_road_type,seen_calibrated_aps,median_router_rmse_m,good_router_count,usable_router_count,weak_router_count,gps_jump_m,wifi_jump_m,is_outlier,outlier_reason
scan_281,2026-04-08 13:25:52,48.89126435611567,8.701976778919436,48.89112920389836,8.701445215062733,48.89112012425216,8.701445757402029,3,13.012814197295423,1.0115253805145494,42.052233604250276,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89126434204779,8.701993158615933,48.89126435611567,8.701976778919436,1.1988605154481966,pedestrian,48.89112012425216,8.701445757402029,1.0115253805145494,pedestrian,10,14.738982683460101,0,3,7,5.629786855044849,30.03689361057151,False,
scan_285,2026-04-08 13:26:14,48.8911446129595,8.70200856534826,48.89124390583167,8.70156617091096,48.8913225,8.7015568,4,15.630043708312993,8.775945729911255,38.541773322481546,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89114988999594,8.702019902321618,48.8911446129595,8.70200856534826,1.016667405717271,pedestrian,48.8913225,8.7015568,8.775945729911255,pedestrian,5,0.4412920688602965,0,0,5,8.419594396840786,22.561583107168623,False,
scan_289,2026-04-08 13:26:35,48.8910035,8.7021042,48.89104464544948,8.701634809158255,48.89106141572147,8.701659962320129,4,29.27130345250478,2.621930820116788,33.14775241827705,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89101408202727,8.70207573098628,48.8910035,8.7021042,2.3936386368235767,pedestrian,48.89106141572147,8.701659962320129,2.621930820116788,pedestrian,8,3.0296075983939645,1,2,5,14.215170258271984,3.33288111252412,False,
scan_382,2026-04-08 13:34:58,48.890948010987685,8.698986782135854,48.89079561798266,8.699215522168588,48.890808331508296,8.69909227271204,3,34.53500639447844,9.131278340211713,17.36059954665652,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.890952869655166,8.698952833057202,48.890948010987685,8.698986782135854,2.5429935540227278,pedestrian,48.890808331508296,8.69909227271204,9.131278340211713,pedestrian,11,9.282794399384583,0,4,7,8.039504869278074,1.9290025140362363,False,
scan_385,2026-04-08 13:35:09,48.890985290673605,8.699188750224206,48.89093693980086,8.699090435592673,48.89093399398842,8.699118984368528,3,43.385865593915874,2.115125512517018,7.660452835881551,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89104697295447,8.699202091179412,48.890985290673605,8.699188750224206,6.935552680959916,pedestrian,48.89093399398842,8.699118984368528,2.115125512517018,pedestrian,6,5.781103565334229,0,2,4,9.185936945663657,3.282678526855097,False,
scan_397,2026-04-08 13:36:08,48.890933003683166,8.699965508541517,48.89104360799041,8.699728760205794,48.89094525403795,8.69971345438688,3,14.189197769195175,11.005924933443623,18.498754003133538,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89089744188424,8.699964795287153,48.890933003683166,8.699965508541517,3.959083658992607,pedestrian,48.89094525403795,8.69971345438688,11.005924933443623,pedestrian,5,5.4549911080094216,1,2,2,5.948102210312483,1.0686850304523032,False,
scan_524,2026-04-08 13:54:14,48.89024210000001,8.6989644,48.89021304842233,8.699458630213744,48.89019786518765,8.69945561064527,3,34.7864831557247,1.7045863577817904,36.28897438943335,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.890064150938834,8.698930434121836,48.89024210000001,8.6989644,19.964682847254988,footway,48.89019786518765,8.69945561064527,1.7045863577817904,secondary,5,7.048744946639012,0,4,1,34.35040680050737,49.71369750619879,False,
scan_528,2026-04-08 13:54:32,48.89002960809271,8.69862236169929,48.89012231819064,8.698984235657264,48.89024210000001,8.6989644,3,30.178050828020684,13.412917577002688,34.44259232678084,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88999343339338,8.698771175442905,48.89002960809271,8.69862236169929,11.612794049160309,residential,48.89024210000001,8.6989644,13.412917577002688,footway,10,10.418930232613839,1,5,4,5.366631221384108,0.0,False,
scan_541,2026-04-08 13:56:04,48.889621104070976,8.698160076153208,48.889551673353196,8.698181728776756,48.88956116934397,8.698146910100167,3,43.91658760271188,2.7590663129216555,6.741170344783958,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88969726226518,8.698186923425363,48.889621104070976,8.698160076153208,8.702687400606019,pedestrian,48.88956116934397,8.698146910100167,2.7590663129216555,pedestrian,5,8.272215297750993,1,2,2,30.679443077953824,0.25287277531818453,False,
scan_543,2026-04-08 13:56:22,48.889565710431505,8.698106874687078,48.88955399267958,8.698168908704892,48.88956016507342,8.698146276565009,3,12.384093299685372,1.7933930321802132,2.9493190551831923,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.889525429659685,8.698088812008793,48.889565710431505,8.698106874687078,4.674897339346071,pedestrian,48.88956016507342,8.698146276565009,1.7933930321802132,pedestrian,5,5.183720592542132,0,1,4,7.29303039940813,0.12103096874043884,False,
